OBJECTID;ID;STADSDEEL;BUURT_CODE;STRAAT;EIGENAAR;BEHEERDER;ONDERHOUDER;SOORT;VOET;ZITOBJECT;AFWERKING;KLEUR;AANLEG_JAAR;STANDPLAATS;LOCATIE;LEVERANCIER;geo_shape;geo_point_2d
1340;13804;Woensel noord 2;1541;Deimosweg;BOR;BOR Stedelijk;BOR Stedelijk;;;Kunststof;;;2012;;;;"{""coordinates"": [5.490305237185516, 51.470566351065955], ""type"": ""Point""}";51.470566351065955, 5.490305237185516
1343;13668;Stratum;1214;St Adrianusstraat;BOR;BOR Stedelijk;BOR Stedelijk;;;Hout;;;2012;;;;"{""coordinates"": [5.495975283654166, 51.42675979418214], ""type"": ""Point""}";51.42675979418214, 5.495975283654166
1347;12965;Park Meerland;1640;Waterfront;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Licht bruin;2011;Gazon;Park;;"{""coordinates"": [5.40344396283943, 51.43999690563358], ""type"": ""Point""}";51.43999690563358, 5.40344396283943
1349;12987;Tongelre;1334;Doolstraat;BOR;BOR buitengebied;BOR Natuur;Zitbank;Staal;Hout;Beits;Licht bruin;2012;Gazon;Overig;;"{""coordinates"": [5.536344149102608, 51.435178509952664], ""type"": ""Point""}";51.435178509952664, 5.536344149102608
1350;12988;Tongelre;1334;Buitengebied in brt: 327;BOR;BOR buitengebied;BOR Natuur;Zitbank;Staal;Hout;Beits;Licht bruin;2012;Gazon;Park;;"{""coordinates"": [5.531001568675546, 51.44238766867601], ""type"": ""Point""}";51.44238766867601, 5.531001568675546
1352;13009;Tongelre;1312;Mesdagstraat;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Beton;Anders;Grijs;2012;Gazon;Plein;;"{""coordinates"": [5.502225474805849, 51.43978963611722], ""type"": ""Point""}";51.43978963611722, 5.502225474805849
1355;8312;Park Centrum;1217;STD.P. Stadswandelpark;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.482684122689013, 51.42681194648707], ""type"": ""Point""}";51.42681194648707, 5.482684122689013
1359;8221;Stratum;1238;Bochtige Smeleveld;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Beplanting;Plein;;"{""coordinates"": [5.5016525945437245, 51.41457638400767], ""type"": ""Point""}";51.41457638400767, 5.5016525945437245
1360;8228;Stratum;1234;Arnaudinaplein;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Gazon;Plein;;"{""coordinates"": [5.507733869219338, 51.4199689101179], ""type"": ""Point""}";51.4199689101179, 5.507733869219338
1361;8283;Park Centrum;1217;STD.P. Stadswandelpark;BOR;BOR Stedelijk;BOR Stedelijk;Picknickset;Beton;Hout;Beits;Donker bruin;2006;Anders;Park;;"{""coordinates"": [5.4817626185650505, 51.425592988527924], ""type"": ""Point""}";51.425592988527924, 5.4817626185650505
1362;8292;Park Centrum;1217;STD.P. Stadswandelpark;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.483134639246546, 51.425926847140396], ""type"": ""Point""}";51.425926847140396, 5.483134639246546
1365;13064;Gestel;1726;;Particulier;Particulier;Particulier;;;;;;2006;;;;"{""coordinates"": [5.476796469385175, 51.42269511831144], ""type"": ""Point""}";51.42269511831144, 5.476796469385175
1366;13068;Gestel;1726;;Particulier;Particulier;Particulier;;;;;;2006;;;;"{""coordinates"": [5.476756004153605, 51.4227424748813], ""type"": ""Point""}";51.4227424748813, 5.476756004153605
1370;8931;Tongelre;1337;Buitengebied in brt: 324;BOR;BOR buitengebied;BOR Natuur;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Beplanting;Park;;"{""coordinates"": [5.511441602359619, 51.4570995007597], ""type"": ""Point""}";51.4570995007597, 5.511441602359619
1372;9197;Woensel noord 2;1532;;Particulier;Particulier;Particulier;Zitbank;Staal;Hout;Lak;Licht bruin;2012;Anders;School;;"{""coordinates"": [5.479822975661203, 51.48162868122336], ""type"": ""Point""}";51.48162868122336, 5.479822975661203
1375;8834;Tongelre;1335;;Particulier;Particulier;Particulier;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Beplanting;Overig;;"{""coordinates"": [5.530679376561782, 51.44954217956018], ""type"": ""Point""}";51.44954217956018, 5.530679376561782
1383;9222;Stratum;1222;Gaspeldoornlaan;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Licht bruin;2009;Gazon;Park;;"{""coordinates"": [5.488619966493499, 51.41718753157268], ""type"": ""Point""}";51.41718753157268, 5.488619966493499
1385;8822;Tongelre;1333;Locomotiefstraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.513836147694537, 51.44468736524017], ""type"": ""Point""}";51.44468736524017, 5.513836147694537
1387;13294;Gestel;1725;Buitengebied 50;Sportpark;Sportpark;Sportpark;;;;;;2006;;;;"{""coordinates"": [5.45035895536581, 51.4141963889434], ""type"": ""Point""}";51.4141963889434, 5.45035895536581
1389;8646;Stratum;1222;St Gerardusplein;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Verharding;Overig;;"{""coordinates"": [5.489293796486008, 51.42013057664475], ""type"": ""Point""}";51.42013057664475, 5.489293796486008
1391;12904;Park Philips de Jongh;1627;STD.P. Philips de Jongh;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Hout;Beits;Licht bruin;2013;Beplanting;Park;;"{""coordinates"": [5.445264739680098, 51.45830091665228], ""type"": ""Point""}";51.45830091665228, 5.445264739680098
1394;12902;Park Philips de Jongh;1627;STD.P. Philips de Jongh;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Hout;Lak;Donker bruin;2013;Verharding;Park;;"{""coordinates"": [5.442613936735076, 51.45882326571465], ""type"": ""Point""}";51.45882326571465, 5.442613936735076
1395;12907;Park Philips de Jongh;1627;STD.P. Philips de Jongh;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Hout;Beits;Donker bruin;2013;Beplanting;Park;;"{""coordinates"": [5.445959659994572, 51.45804383325822], ""type"": ""Point""}";51.45804383325822, 5.445959659994572
1397;12906;Park Philips de Jongh;1627;STD.P. Philips de Jongh;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Hout;Lak;Licht bruin;2013;Beplanting;Park;;"{""coordinates"": [5.445580212964941, 51.45820427431979], ""type"": ""Point""}";51.45820427431979, 5.445580212964941
1399;12880;Strijp 2;1633;Nieuwe Sliffertsestraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Onbehandeld;Donker bruin;2013;Gazon;Park;;"{""coordinates"": [5.420527103722294, 51.44038355398776], ""type"": ""Point""}";51.44038355398776, 5.420527103722294
1405;13444;Gestel;1712;Ireneplein;BOR;BOR Stedelijk;BOR Stedelijk;Picknickset;Beton;Hout;Beits;Licht bruin;2013;Gazon;Plein;;"{""coordinates"": [5.463372345285091, 51.42970016574409], ""type"": ""Point""}";51.42970016574409, 5.463372345285091
1410;13395;Centrum;1111;Ten Hagestraat;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Hout;Hout;Beits;Donker bruin;2013;Anders;Plein;;"{""coordinates"": [5.480267860955725, 51.437607741425815], ""type"": ""Point""}";51.437607741425815, 5.480267860955725
1413;11117;Park Centrum;1711;PL.. Romantica;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2008;Gazon;Park;;"{""coordinates"": [5.472240519160713, 51.42624310674092], ""type"": ""Point""}";51.42624310674092, 5.472240519160713
1418;11408;Strijp 1;1623;Pieter Pauluslaan;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Hout;Beits;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.431576184925006, 51.44166453996994], ""type"": ""Point""}";51.44166453996994, 5.431576184925006
1419;11573;Park Henri Dunant;1532;STD.P. Henry Dunant;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.470432751798839, 51.47978223991199], ""type"": ""Point""}";51.47978223991199, 5.470432751798839
1421;14901;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Staal;Hout;Anders;Anders;;Verharding;Park;;"{""coordinates"": [5.477525932787575, 51.413098570664594], ""type"": ""Point""}";51.413098570664594, 5.477525932787575
1426;14906;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Staal;Hout;Anders;Anders;;Verharding;Park;;"{""coordinates"": [5.477840995038083, 51.413015818466086], ""type"": ""Point""}";51.413015818466086, 5.477840995038083
1427;14907;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Staal;Hout;Anders;Anders;;Verharding;Park;;"{""coordinates"": [5.476993238882054, 51.41314999372215], ""type"": ""Point""}";51.41314999372215, 5.476993238882054
1431;14914;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Beton;Hout;Beits;Donker bruin;;Verharding;Park;;"{""coordinates"": [5.479285733042763, 51.41023577427988], ""type"": ""Point""}";51.41023577427988, 5.479285733042763
1433;14916;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Beton;Kunststof;Lak;Donker bruin;;Verharding;Park;;"{""coordinates"": [5.4780430127243385, 51.41156099292212], ""type"": ""Point""}";51.41156099292212, 5.4780430127243385
1438;14922;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Beton;Hout;Lak;Donker bruin;;Verharding;Park;;"{""coordinates"": [5.4784034611491625, 51.412974462519585], ""type"": ""Point""}";51.412974462519585, 5.4784034611491625
